POST_NAME,ET_DESC,ET_PRIM_REASON,ET_PRIM_DESC,ET_SEC_REASON,ET_SEC_DESC,Count of VOL_ID
ALBANIA/MONTENEGRO,RESIGNATION,616,other personal/family related,213,matching skills with work assignment,1
ALBANIA/MONTENEGRO,RESIGNATION,616,other personal/family related,610,romantic interest,1
ALBANIA/MONTENEGRO,RESIGNATION,217,other program/work assignment,,,1
ALBANIA/MONTENEGRO,RESIGNATION,217,other program/work assignment,311,emotional/mental health,1
ALBANIA/MONTENEGRO,RESIGNATION,217,other program/work assignment,215,project/site development,1
ALBANIA/MONTENEGRO,RESIGNATION,711,other volunteers/trainees,,,1
ALBANIA/MONTENEGRO,RESIGNATION,113,Peace Corps policies,,,1
ALBANIA/MONTENEGRO,RESIGNATION,113,Peace Corps policies,616,other personal/family related,1
ALBANIA/MONTENEGRO,RESIGNATION,114,Peace Corps staff in country,411,host community/host family,1
ALBANIA/MONTENEGRO,RESIGNATION,100,Personal/Family,,,1
ALBANIA/MONTENEGRO,RESIGNATION,310,physical health,114,Peace Corps staff in country,1
ALBANIA/MONTENEGRO,RESIGNATION,414,preferred another country/region,213,matching skills with work assignment,1
ALBANIA/MONTENEGRO,RESIGNATION,414,preferred another country/region,217,other program/work assignment,1
ALBANIA/MONTENEGRO,RESIGNATION,710,resignation in lieu of administrative separation,,,11
ALBANIA/MONTENEGRO,RESIGNATION,413,site location,414,preferred another country/region,1
ALBANIA/MONTENEGRO,RESIGNATION,614,spousal responsibility,,,1
ALBANIA/MONTENEGRO,RESIGNATION,110,technical support,,,1
ALBANIA/MONTENEGRO,RESIGNATION,110,technical support,311,emotional/mental health,1
ALBANIA/MONTENEGRO,RESIGNATION,110,technical support,215,project/site development,1
ALBANIA/MONTENEGRO,RESIGNATION,110,technical support,515,road safety concerns/dangerous traveling,1
ALBANIA/MONTENEGRO,RESIGNATION,712,unrealistic expectations,,,4
ARMENIA,RESIGNATION,,,,,63
ARMENIA,RESIGNATION,200,Adaptation,,,7
ARMENIA,RESIGNATION,200,Adaptation,600,Other,1
ARMENIA,RESIGNATION,200,Adaptation,100,Personal/Family,1
ARMENIA,RESIGNATION,200,Adaptation,700,V/T Prefers Not to Respond,1
ARMENIA,RESIGNATION,112,administrative support,,,2
ARMENIA,RESIGNATION,214,amount of work,,,2
ARMENIA,RESIGNATION,214,amount of work,615,friend(s) or other family responsibility,2
ARMENIA,RESIGNATION,214,amount of work,213,matching skills with work assignment,1
ARMENIA,RESIGNATION,214,amount of work,612,other career opportunity,1
ARMENIA,RESIGNATION,219,assignment not development work/not needed,213,matching skills with work assignment,1
ARMENIA,RESIGNATION,116,death/illness of close friend or family member,117,family financial obligations,1
ARMENIA,RESIGNATION,116,death/illness of close friend or family member,212,host country counterpart/support,1
ARMENIA,RESIGNATION,116,death/illness of close friend or family member,215,project/site development,2
ARMENIA,RESIGNATION,118,early termination of spouse,,,1
ARMENIA,RESIGNATION,311,emotional/mental health,,,2
ARMENIA,RESIGNATION,311,emotional/mental health,610,romantic interest,1
ARMENIA,RESIGNATION,613,financial,,,1
ARMENIA,RESIGNATION,615,friend(s) or other family responsibility,,,10
ARMENIA,RESIGNATION,615,friend(s) or other family responsibility,712,unrealistic expectations,1
ARMENIA,RESIGNATION,611,further education,,,3
ARMENIA,RESIGNATION,611,further education,613,financial,2
ARMENIA,RESIGNATION,611,further education,615,friend(s) or other family responsibility,1
ARMENIA,RESIGNATION,611,further education,612,other career opportunity,1
ARMENIA,RESIGNATION,611,further education,215,project/site development,1
ARMENIA,RESIGNATION,411,host community/host family,215,project/site development,1
ARMENIA,RESIGNATION,212,host country counterpart/support,,,3
ARMENIA,RESIGNATION,212,host country counterpart/support,616,other personal/family related,1
ARMENIA,RESIGNATION,212,host country counterpart/support,310,physical health,1
ARMENIA,RESIGNATION,212,host country counterpart/support,712,unrealistic expectations,1
ARMENIA,RESIGNATION,410,host country culture,,,2
ARMENIA,RESIGNATION,410,host country culture,311,emotional/mental health,1
ARMENIA,RESIGNATION,410,host country culture,412,living arrangements/housing location,2
ARMENIA,RESIGNATION,410,host country culture,415,other country assignment/adaptation,1
ARMENIA,RESIGNATION,400,Job Related,,,13
ARMENIA,RESIGNATION,400,Job Related,200,Adaptation,1
ARMENIA,RESIGNATION,400,Job Related,600,Other,2
ARMENIA,RESIGNATION,213,matching skills with work assignment,214,amount of work,2
ARMENIA,RESIGNATION,213,matching skills with work assignment,616,other personal/family related,1
ARMENIA,RESIGNATION,300,Medical Concerns,,,2
ARMENIA,RESIGNATION,111,medical support,,,1
ARMENIA,RESIGNATION,600,Other,,,6
ARMENIA,RESIGNATION,716,other (please explain),221,other program/work related (please explain),1
ARMENIA,RESIGNATION,612,other career opportunity,,,10
ARMENIA,RESIGNATION,612,other career opportunity,214,amount of work,1
ARMENIA,RESIGNATION,612,other career opportunity,616,other personal/family related,1
ARMENIA,RESIGNATION,415,other country assignment/adaptation,,,1
ARMENIA,RESIGNATION,120,other family,,,2
ARMENIA,RESIGNATION,120,other family,411,host community/host family,1
ARMENIA,RESIGNATION,514,other personal safety,710,resignation in lieu of administrative separation,1
ARMENIA,RESIGNATION,616,other personal/family related,,,10
ARMENIA,RESIGNATION,616,other personal/family related,214,amount of work,2
ARMENIA,RESIGNATION,616,other personal/family related,310,physical health,1
ARMENIA,RESIGNATION,217,other program/work assignment,,,1
ARMENIA,RESIGNATION,217,other program/work assignment,410,host country culture,1
ARMENIA,RESIGNATION,217,other program/work assignment,610,romantic interest,1
ARMENIA,RESIGNATION,113,Peace Corps policies,,,1
ARMENIA,RESIGNATION,113,Peace Corps policies,712,unrealistic expectations,1
ARMENIA,RESIGNATION,114,Peace Corps staff in country,,,2
ARMENIA,RESIGNATION,500,Personal Safety,,,1
ARMENIA,RESIGNATION,100,Personal/Family,,,25
ARMENIA,RESIGNATION,100,Personal/Family,200,Adaptation,1
ARMENIA,RESIGNATION,100,Personal/Family,400,Job Related,4
ARMENIA,RESIGNATION,100,Personal/Family,500,Personal Safety,1
ARMENIA,RESIGNATION,310,physical health,,,5
ARMENIA,RESIGNATION,310,physical health,311,emotional/mental health,1
ARMENIA,RESIGNATION,310,physical health,410,host country culture,1
ARMENIA,RESIGNATION,310,physical health,616,other personal/family related,1
ARMENIA,RESIGNATION,216,political/civil unrest,116,death/illness of close friend or family member,1
ARMENIA,RESIGNATION,216,political/civil unrest,210,technical skills,1
ARMENIA,RESIGNATION,215,project/site development,,,2
ARMENIA,RESIGNATION,710,resignation in lieu of administrative separation,,,6
ARMENIA,RESIGNATION,610,romantic interest,,,3
ARMENIA,RESIGNATION,610,romantic interest,214,amount of work,3
ARMENIA,RESIGNATION,610,romantic interest,615,friend(s) or other family responsibility,1
ARMENIA,RESIGNATION,610,romantic interest,616,other personal/family related,1
ARMENIA,RESIGNATION,210,technical skills,212,host country counterpart/support,1
ARMENIA,RESIGNATION,712,unrealistic expectations,,,2
ARMENIA,RESIGNATION,712,unrealistic expectations,715,use of illegal substance or misuse of alcohol,1
AZERBAIJAN,RESIGNATION,,,,,55
AZERBAIJAN,RESIGNATION,311,emotional/mental health,,,2
AZERBAIJAN,RESIGNATION,311,emotional/mental health,213,matching skills with work assignment,1
AZERBAIJAN,RESIGNATION,615,friend(s) or other family responsibility,,,5
AZERBAIJAN,RESIGNATION,611,further education,,,2
AZERBAIJAN,RESIGNATION,410,host country culture,,,1
AZERBAIJAN,RESIGNATION,612,other career opportunity,,,8
AZERBAIJAN,RESIGNATION,612,other career opportunity,215,project/site development,1
AZERBAIJAN,RESIGNATION,120,other family,221,other program/work related (please explain),1
AZERBAIJAN,RESIGNATION,616,other personal/family related,,,13
AZERBAIJAN,RESIGNATION,217,other program/work assignment,216,political/civil unrest,1
AZERBAIJAN,RESIGNATION,711,other volunteers/trainees,,,1
AZERBAIJAN,RESIGNATION,114,Peace Corps staff in country,415,other country assignment/adaptation,1
AZERBAIJAN,RESIGNATION,310,physical health,,,1
AZERBAIJAN,RESIGNATION,310,physical health,120,other family,1
AZERBAIJAN,RESIGNATION,215,project/site development,,,1
AZERBAIJAN,RESIGNATION,215,project/site development,110,technical support,1
AZERBAIJAN,RESIGNATION,614,spousal responsibility,710,resignation in lieu of administrative separation,1
AZERBAIJAN,RESIGNATION,712,unrealistic expectations,,,5
AZERBAIJAN,RESIGNATION,712,unrealistic expectations,214,amount of work,1
AZERBAIJAN,RESIGNATION,712,unrealistic expectations,714,unable to adhere to Peace Corps policies,1
BANGLADESH,RESIGNATION,,,,,42
BANGLADESH,RESIGNATION,200,Adaptation,,,10
BANGLADESH,RESIGNATION,200,Adaptation,400,Job Related,1
BANGLADESH,RESIGNATION,200,Adaptation,300,Medical Concerns,1
BANGLADESH,RESIGNATION,410,host country culture,311,emotional/mental health,1
BANGLADESH,RESIGNATION,400,Job Related,,,2
BANGLADESH,RESIGNATION,400,Job Related,600,Other,1
BANGLADESH,RESIGNATION,300,Medical Concerns,,,1
BANGLADESH,RESIGNATION,111,medical support,,,1
BANGLADESH,RESIGNATION,111,medical support,116,death/illness of close friend or family member,1
BANGLADESH,RESIGNATION,600,Other,,,2
BANGLADESH,RESIGNATION,120,other family,,,2
BANGLADESH,RESIGNATION,120,other family,113,Peace Corps policies,2
BANGLADESH,RESIGNATION,217,other program/work assignment,415,other country assignment/adaptation,1
BANGLADESH,RESIGNATION,114,Peace Corps staff in country,,,1
BANGLADESH,RESIGNATION,500,Personal Safety,,,1
BANGLADESH,RESIGNATION,100,Personal/Family,,,11
BANGLADESH,RESIGNATION,100,Personal/Family,600,Other,1
BANGLADESH,RESIGNATION,310,physical health,,,1
BANGLADESH,RESIGNATION,310,physical health,311,emotional/mental health,1
BANGLADESH,RESIGNATION,310,physical health,111,medical support,1
BANGLADESH,RESIGNATION,710,resignation in lieu of administrative separation,219,assignment not development work/not needed,1
BANGLADESH,RESIGNATION,110,technical support,212,host country counterpart/support,1
BELIZE,RESIGNATION,,,,,64
BELIZE,RESIGNATION,200,Adaptation,,,5
BELIZE,RESIGNATION,200,Adaptation,400,Job Related,1
BELIZE,RESIGNATION,313,alcohol,,,1
BELIZE,RESIGNATION,510,crime and personal safety,616,other personal/family related,1
BELIZE,RESIGNATION,510,crime and personal safety,413,site location,1
BELIZE,RESIGNATION,116,death/illness of close friend or family member,,,2
BELIZE,RESIGNATION,311,emotional/mental health,,,4
BELIZE,RESIGNATION,311,emotional/mental health,412,living arrangements/housing location,1
BELIZE,RESIGNATION,311,emotional/mental health,218,received inaccurate information re: assignment,1
BELIZE,RESIGNATION,311,emotional/mental health,413,site location,1
BELIZE,RESIGNATION,311,emotional/mental health,110,technical support,1
BELIZE,RESIGNATION,613,financial,,,3
BELIZE,RESIGNATION,615,friend(s) or other family responsibility,,,11
BELIZE,RESIGNATION,615,friend(s) or other family responsibility,616,other personal/family related,1
BELIZE,RESIGNATION,611,further education,,,3
BELIZE,RESIGNATION,611,further education,613,financial,1
BELIZE,RESIGNATION,411,host community/host family,,,2
BELIZE,RESIGNATION,212,host country counterpart/support,,,1
BELIZE,RESIGNATION,212,host country counterpart/support,616,other personal/family related,1
BELIZE,RESIGNATION,410,host country culture,615,friend(s) or other family responsibility,1
BELIZE,RESIGNATION,312,illegal substance,113,Peace Corps policies,2
BELIZE,RESIGNATION,400,Job Related,,,4
BELIZE,RESIGNATION,400,Job Related,600,Other,1
BELIZE,RESIGNATION,412,living arrangements/housing location,311,emotional/mental health,1
BELIZE,RESIGNATION,213,matching skills with work assignment,616,other personal/family related,1
BELIZE,RESIGNATION,300,Medical Concerns,,,5
BELIZE,RESIGNATION,300,Medical Concerns,600,Other,1
BELIZE,RESIGNATION,111,medical support,,,1
BELIZE,RESIGNATION,111,medical support,117,family financial obligations,1
BELIZE,RESIGNATION,111,medical support,120,other family,1
BELIZE,RESIGNATION,111,medical support,215,project/site development,1
BELIZE,RESIGNATION,600,Other,,,6
BELIZE,RESIGNATION,612,other career opportunity,,,6
BELIZE,RESIGNATION,612,other career opportunity,610,romantic interest,1
BELIZE,RESIGNATION,612,other career opportunity,614,spousal responsibility,1
BELIZE,RESIGNATION,415,other country assignment/adaptation,,,2
BELIZE,RESIGNATION,415,other country assignment/adaptation,120,other family,1
BELIZE,RESIGNATION,616,other personal/family related,,,11
BELIZE,RESIGNATION,616,other personal/family related,311,emotional/mental health,1
BELIZE,RESIGNATION,616,other personal/family related,411,host community/host family,1
BELIZE,RESIGNATION,616,other personal/family related,310,physical health,1
BELIZE,RESIGNATION,616,other personal/family related,712,unrealistic expectations,1
BELIZE,RESIGNATION,217,other program/work assignment,,,1
BELIZE,RESIGNATION,217,other program/work assignment,310,physical health,1
BELIZE,RESIGNATION,221,other program/work related (please explain),415,other country assignment/adaptation,1
BELIZE,RESIGNATION,113,Peace Corps policies,,,3
BELIZE,RESIGNATION,114,Peace Corps staff in country,211,language skills,1
BELIZE,RESIGNATION,100,Personal/Family,,,18
BELIZE,RESIGNATION,100,Personal/Family,200,Adaptation,4
BELIZE,RESIGNATION,100,Personal/Family,400,Job Related,1
BELIZE,RESIGNATION,100,Personal/Family,300,Medical Concerns,1
BELIZE,RESIGNATION,100,Personal/Family,700,V/T Prefers Not to Respond,1
BELIZE,RESIGNATION,310,physical health,,,3
BELIZE,RESIGNATION,216,political/civil unrest,221,other program/work related (please explain),1
BELIZE,RESIGNATION,414,preferred another country/region,,,1
BELIZE,RESIGNATION,414,preferred another country/region,113,Peace Corps policies,1
BELIZE,RESIGNATION,215,project/site development,611,further education,1
BELIZE,RESIGNATION,215,project/site development,111,medical support,1
BELIZE,RESIGNATION,215,project/site development,310,physical health,1
BELIZE,RESIGNATION,215,project/site development,216,political/civil unrest,1
BELIZE,RESIGNATION,215,project/site development,110,technical support,1
BELIZE,RESIGNATION,710,resignation in lieu of administrative separation,,,7
BELIZE,RESIGNATION,710,resignation in lieu of administrative separation,313,alcohol,1
BELIZE,RESIGNATION,710,resignation in lieu of administrative separation,311,emotional/mental health,1
BELIZE,RESIGNATION,710,resignation in lieu of administrative separation,113,Peace Corps policies,4
BELIZE,RESIGNATION,610,romantic interest,,,2
BELIZE,RESIGNATION,610,romantic interest,616,other personal/family related,2
BELIZE,RESIGNATION,614,spousal responsibility,616,other personal/family related,1
BELIZE,RESIGNATION,110,technical support,218,received inaccurate information re: assignment,1
BELIZE,RESIGNATION,712,unrealistic expectations,,,3
BELIZE,RESIGNATION,712,unrealistic expectations,411,host community/host family,1
BELIZE,RESIGNATION,700,V/T Prefers Not to Respond,,,1
BENIN,RESIGNATION,,,,,150
BENIN,RESIGNATION,200,Adaptation,,,11
BENIN,RESIGNATION,112,administrative support,114,Peace Corps staff in country,1
BENIN,RESIGNATION,313,alcohol,,,1
BENIN,RESIGNATION,214,amount of work,,,5
BENIN,RESIGNATION,214,amount of work,211,language skills,1
BENIN,RESIGNATION,118,early termination of spouse,,,1
BENIN,RESIGNATION,311,emotional/mental health,,,7
BENIN,RESIGNATION,311,emotional/mental health,214,amount of work,1
BENIN,RESIGNATION,311,emotional/mental health,212,host country counterpart/support,1
BENIN,RESIGNATION,311,emotional/mental health,410,host country culture,1
BENIN,RESIGNATION,311,emotional/mental health,616,other personal/family related,1
BENIN,RESIGNATION,311,emotional/mental health,310,physical health,1
BENIN,RESIGNATION,311,emotional/mental health,414,preferred another country/region,1
BENIN,RESIGNATION,311,emotional/mental health,413,site location,1
BENIN,RESIGNATION,311,emotional/mental health,712,unrealistic expectations,2
BENIN,RESIGNATION,615,friend(s) or other family responsibility,,,3
BENIN,RESIGNATION,615,friend(s) or other family responsibility,311,emotional/mental health,1
BENIN,RESIGNATION,615,friend(s) or other family responsibility,613,financial,1
BENIN,RESIGNATION,615,friend(s) or other family responsibility,612,other career opportunity,1
BENIN,RESIGNATION,615,friend(s) or other family responsibility,616,other personal/family related,1
BENIN,RESIGNATION,615,friend(s) or other family responsibility,513,road safety/traveling,1
BENIN,RESIGNATION,615,friend(s) or other family responsibility,712,unrealistic expectations,1
BENIN,RESIGNATION,611,further education,,,12
BENIN,RESIGNATION,611,further education,510,crime and personal safety,1
BENIN,RESIGNATION,611,further education,615,friend(s) or other family responsibility,1
BENIN,RESIGNATION,611,further education,612,other career opportunity,1
BENIN,RESIGNATION,212,host country counterpart/support,616,other personal/family related,1
BENIN,RESIGNATION,410,host country culture,,,1
BENIN,RESIGNATION,410,host country culture,311,emotional/mental health,1
BENIN,RESIGNATION,410,host country culture,411,host community/host family,1
BENIN,RESIGNATION,410,host country culture,712,unrealistic expectations,1
BENIN,RESIGNATION,312,illegal substance,,,1
BENIN,RESIGNATION,400,Job Related,,,8
BENIN,RESIGNATION,300,Medical Concerns,,,5
BENIN,RESIGNATION,612,other career opportunity,,,17
BENIN,RESIGNATION,612,other career opportunity,611,further education,2
BENIN,RESIGNATION,612,other career opportunity,410,host country culture,1
BENIN,RESIGNATION,612,other career opportunity,217,other program/work assignment,1
BENIN,RESIGNATION,415,other country assignment/adaptation,211,language skills,1
BENIN,RESIGNATION,115,other Peace Corps support,,,2
BENIN,RESIGNATION,514,other personal safety,,,1
BENIN,RESIGNATION,616,other personal/family related,,,19
BENIN,RESIGNATION,616,other personal/family related,615,friend(s) or other family responsibility,1
BENIN,RESIGNATION,616,other personal/family related,611,further education,1
BENIN,RESIGNATION,616,other personal/family related,511,physical assault/harassment,1
BENIN,RESIGNATION,616,other personal/family related,110,technical support,1
BENIN,RESIGNATION,217,other program/work assignment,,,1
BENIN,RESIGNATION,217,other program/work assignment,212,host country counterpart/support,1
BENIN,RESIGNATION,114,Peace Corps staff in country,616,other personal/family related,1
BENIN,RESIGNATION,100,Personal/Family,,,21
BENIN,RESIGNATION,511,physical assault/harassment,512,sexual assault/harassment,1
BENIN,RESIGNATION,310,physical health,,,1
BENIN,RESIGNATION,310,physical health,311,emotional/mental health,1
BENIN,RESIGNATION,310,physical health,615,friend(s) or other family responsibility,1
BENIN,RESIGNATION,310,physical health,412,living arrangements/housing location,1
BENIN,RESIGNATION,0,Prefer not to respond,,,1
BENIN,RESIGNATION,414,preferred another country/region,,,1
BENIN,RESIGNATION,215,project/site development,214,amount of work,2
BENIN,RESIGNATION,215,project/site development,311,emotional/mental health,1
BENIN,RESIGNATION,215,project/site development,212,host country counterpart/support,1
BENIN,RESIGNATION,710,resignation in lieu of administrative separation,,,18
BENIN,RESIGNATION,710,resignation in lieu of administrative separation,113,Peace Corps policies,1
BENIN,RESIGNATION,710,resignation in lieu of administrative separation,513,road safety/traveling,1
BENIN,RESIGNATION,513,road safety/traveling,,,1
BENIN,RESIGNATION,512,sexual assault/harassment,410,host country culture,1
BENIN,RESIGNATION,413,site location,214,amount of work,1
BENIN,RESIGNATION,413,site location,611,further education,1
BENIN,RESIGNATION,413,site location,512,sexual assault/harassment,1
BENIN,RESIGNATION,413,site location,712,unrealistic expectations,1
BENIN,RESIGNATION,614,spousal responsibility,,,1
BENIN,RESIGNATION,712,unrealistic expectations,,,2
BENIN,RESIGNATION,712,unrealistic expectations,311,emotional/mental health,2
BENIN,RESIGNATION,712,unrealistic expectations,514,other personal safety,1
BENIN,RESIGNATION,712,unrealistic expectations,610,romantic interest,1
BHUTAN,RESIGNATION,0,Prefer not to respond,,,1
BOLIVIA,RESIGNATION,,,,,124
BOLIVIA,RESIGNATION,200,Adaptation,,,10
BOLIVIA,RESIGNATION,200,Adaptation,400,Job Related,2
BOLIVIA,RESIGNATION,200,Adaptation,300,Medical Concerns,1
BOLIVIA,RESIGNATION,112,administrative support,216,political/civil unrest,1
BOLIVIA,RESIGNATION,214,amount of work,213,matching skills with work assignment,1
BOLIVIA,RESIGNATION,311,emotional/mental health,616,other personal/family related,1
BOLIVIA,RESIGNATION,615,friend(s) or other family responsibility,610,romantic interest,1
BOLIVIA,RESIGNATION,410,host country culture,,,1
BOLIVIA,RESIGNATION,410,host country culture,213,matching skills with work assignment,1
BOLIVIA,RESIGNATION,400,Job Related,,,13
BOLIVIA,RESIGNATION,400,Job Related,700,V/T Prefers Not to Respond,1
BOLIVIA,RESIGNATION,211,language skills,213,matching skills with work assignment,1
BOLIVIA,RESIGNATION,300,Medical Concerns,,,5
BOLIVIA,RESIGNATION,300,Medical Concerns,400,Job Related,2
BOLIVIA,RESIGNATION,111,medical support,716,other (please explain),1
BOLIVIA,RESIGNATION,111,medical support,120,other family,1
BOLIVIA,RESIGNATION,600,Other,,,10
BOLIVIA,RESIGNATION,415,other country assignment/adaptation,114,Peace Corps staff in country,1
BOLIVIA,RESIGNATION,120,other family,,,1
BOLIVIA,RESIGNATION,616,other personal/family related,,,1
BOLIVIA,RESIGNATION,500,Personal Safety,,,1
BOLIVIA,RESIGNATION,100,Personal/Family,,,34
BOLIVIA,RESIGNATION,100,Personal/Family,200,Adaptation,7
BOLIVIA,RESIGNATION,100,Personal/Family,400,Job Related,3
BOLIVIA,RESIGNATION,100,Personal/Family,300,Medical Concerns,2
BOLIVIA,RESIGNATION,100,Personal/Family,700,V/T Prefers Not to Respond,2
BOLIVIA,RESIGNATION,310,physical health,116,death/illness of close friend or family member,1
BOLIVIA,RESIGNATION,216,political/civil unrest,,,1
BOLIVIA,RESIGNATION,216,political/civil unrest,111,medical support,1
BOLIVIA,RESIGNATION,216,political/civil unrest,218,received inaccurate information re: assignment,1
BOLIVIA,RESIGNATION,215,project/site development,,,1
BOLIVIA,RESIGNATION,215,project/site development,613,financial,1
BOLIVIA,RESIGNATION,218,received inaccurate information re: assignment,113,Peace Corps policies,1
BOLIVIA,RESIGNATION,710,resignation in lieu of administrative separation,510,crime and personal safety,1
BOLIVIA,RESIGNATION,710,resignation in lieu of administrative separation,613,financial,1
BOLIVIA,RESIGNATION,614,spousal responsibility,410,host country culture,1
BOLIVIA,RESIGNATION,712,unrealistic expectations,,,5
BOLIVIA,RESIGNATION,700,V/T Prefers Not to Respond,,,3
BOSNIA,RESIGNATION,100,Personal/Family,,,1
BOTSWANA,RESIGNATION,,,,,61
BOTSWANA,RESIGNATION,200,Adaptation,,,4
BOTSWANA,RESIGNATION,200,Adaptation,300,Medical Concerns,1
BOTSWANA,RESIGNATION,214,amount of work,,,1
BOTSWANA,RESIGNATION,214,amount of work,411,host community/host family,1
BOTSWANA,RESIGNATION,214,amount of work,612,other career opportunity,1
BOTSWANA,RESIGNATION,214,amount of work,415,other country assignment/adaptation,1
BOTSWANA,RESIGNATION,214,amount of work,216,political/civil unrest,1
BOTSWANA,RESIGNATION,510,crime and personal safety,,,1
BOTSWANA,RESIGNATION,510,crime and personal safety,410,host country culture,1
BOTSWANA,RESIGNATION,116,death/illness of close friend or family member,214,amount of work,1
BOTSWANA,RESIGNATION,311,emotional/mental health,,,7
BOTSWANA,RESIGNATION,311,emotional/mental health,510,crime and personal safety,2
BOTSWANA,RESIGNATION,311,emotional/mental health,411,host community/host family,1
BOTSWANA,RESIGNATION,311,emotional/mental health,410,host country culture,1
BOTSWANA,RESIGNATION,311,emotional/mental health,413,site location,1
BOTSWANA,RESIGNATION,311,emotional/mental health,712,unrealistic expectations,3
BOTSWANA,RESIGNATION,613,financial,,,1
BOTSWANA,RESIGNATION,615,friend(s) or other family responsibility,,,13
BOTSWANA,RESIGNATION,615,friend(s) or other family responsibility,311,emotional/mental health,1
BOTSWANA,RESIGNATION,615,friend(s) or other family responsibility,411,host community/host family,1
BOTSWANA,RESIGNATION,615,friend(s) or other family responsibility,616,other personal/family related,2
BOTSWANA,RESIGNATION,615,friend(s) or other family responsibility,712,unrealistic expectations,1
BOTSWANA,RESIGNATION,611,further education,,,3
BOTSWANA,RESIGNATION,611,further education,411,host community/host family,1
BOTSWANA,RESIGNATION,411,host community/host family,110,technical support,1
BOTSWANA,RESIGNATION,212,host country counterpart/support,,,2
BOTSWANA,RESIGNATION,212,host country counterpart/support,311,emotional/mental health,3
BOTSWANA,RESIGNATION,212,host country counterpart/support,611,further education,1
BOTSWANA,RESIGNATION,212,host country counterpart/support,410,host country culture,3
BOTSWANA,RESIGNATION,212,host country counterpart/support,712,unrealistic expectations,1
BOTSWANA,RESIGNATION,410,host country culture,,,1
BOTSWANA,RESIGNATION,410,host country culture,212,host country counterpart/support,1
BOTSWANA,RESIGNATION,410,host country culture,211,language skills,1
BOTSWANA,RESIGNATION,410,host country culture,213,matching skills with work assignment,2
BOTSWANA,RESIGNATION,410,host country culture,310,physical health,1
BOTSWANA,RESIGNATION,410,host country culture,614,spousal responsibility,1
BOTSWANA,RESIGNATION,410,host country culture,712,unrealistic expectations,1
BOTSWANA,RESIGNATION,400,Job Related,,,2
BOTSWANA,RESIGNATION,400,Job Related,100,Personal/Family,1
BOTSWANA,RESIGNATION,412,living arrangements/housing location,212,host country counterpart/support,1
BOTSWANA,RESIGNATION,412,living arrangements/housing location,211,language skills,1
BOTSWANA,RESIGNATION,412,living arrangements/housing location,415,other country assignment/adaptation,1
BOTSWANA,RESIGNATION,412,living arrangements/housing location,217,other program/work assignment,1
BOTSWANA,RESIGNATION,213,matching skills with work assignment,,,1
